Source.Name,Date_Range,Min_Price,Max_Price,Avg_Price
harga_ayam_2024.csv,28.04.2024 - 04.05.2024,5.4,6.5,5.84
harga_ayam_2024.csv,05.05.2024 - 11.05.2024,5.7,7.1,6.42
harga_ayam_2024.csv,12.05.2024 - 18.05.2024,5.6,7.4,6.48
harga_ayam_2024.csv,19.05.2024 - 25.05.2024,5.7,7.4,6.77
harga_ayam_2024.csv,26.05.2024 - 01.06.2024,5.7,7.8,6.91
harga_ayam_2024.csv,02.06.2024 - 08.06.2024,5.7,7.4,6.64
harga_ayam_2024.csv,09.06.2024 - 16.06.2024,5.5,7.5,6.73
harga_ayam_2024.csv,17.06.2024 - 23.06.2024,5.5,7.6,6.76
harga_ayam_2024.csv,24.06.2024 - 30.06.2024,5.6,7.6,6.63
harga_ayam_2024.csv,01.07.2024 - 07.07.2024,5.7,6.7,6.2
harga_ayam_2024.csv,08.07.2024 - 14.07.2024,5.5,6.8,5.98
harga_ayam_2024.csv,15.07.2024 - 21.07.2024,5.1,5.8,5.45
harga_ayam_2024.csv,22.07.2024 - 28.07.2024,5.3,6.6,5.78
harga_ayam_2024.csv,29.07.2024 - 04.08.2024,5.3,6.7,5.68
harga_ayam_2024.csv,05.08.2024 - 11.08.2024,4.6,6.5,5.09
harga_ayam_2024.csv,12.08.2024 - 18.08.2024,4.8,6.6,5.49
harga_ayam_2024.csv,19.08.2024 - 25.08.2024,4.6,6,5.42
harga_ayam_2024.csv,26.08.2024 - 01.09.2024,4.3,6.1,5.18
harga_ayam_2024.csv,02.09.2024 - 08.09.2024,4.4,5.6,5.2
harga_ayam_2024.csv,09.09.2024 - 15.09.2024,5.3,6,5.56
harga_ayam_2024.csv,16.09.2024 - 22.09.2024,5.4,6.5,6.08
harga_ayam_2024.csv,23.09.2024 - 29.09.2024,5.5,6.5,5.87
harga_ayam_2024.csv,30.09.2024 - 06.10.2024,5.8,6.5,6.13
harga_ayam_2024.csv,07.10.2024 - 13.10.2024,5.6,6.8,6.36
harga_ayam_2024.csv,14.10.2024 - 20.10.2024,5.6,7.1,6.48
harga_ayam_2024.csv,21.10.2024 - 27.10.2024,5.5,6.8,6.22
harga_ayam_2024.csv,28.10.2024 - 03.11.2024,5.9,6.9,6.44
harga_ayam_2024.csv,04.11.2024 - 10.11.2024,5.5,6.9,6.12
harga_ayam_2024.csv,11.11.2024 - 17.11.2024,5.2,6.6,5.83
harga_ayam_2024.csv,18.11.2024 - 24.11.2024,5.7,7.1,6.32
harga_ayam_2024.csv,25.11.2024 - 01.12.2024,5.6,6.8,6.28
harga_ayam_2024.csv,02.12.2024 - 08.12.2024,5.2,6.5,5.97
